"GC EI Compounds ID"	"Name"	"Area Mean (Genuine)"	"Area Mean (Suspect)"	"New CD Table ID"	"New CD Table WorkflowID"
315	"Butyl 4,4,6,6,8,8-hexamethyl-11-oxo-3,5,7,9,12-pentaoxa-4,6,8-trisilahexadecan-1-oate"	3331529.33333333	2189500.66666667	315	239
316	"[1-[(4-acetylamino-phenylcarbamoyl)-methyl]-cyclohexyl]-acetic acid"	28164	1543999.66666667	316	239
317	"Octanediamide, N,N'-di-benzoyloxy-"	220370	1382231.33333333	317	239
318	"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, (1S-endo)-"	7291939	1695389	318	239
319	"3-t-Butyl-6-methyl-2H-pyran"	15036579.3333333	17085575.6666667	319	239
320	"Ethanone, 1-(1,4-dimethyl-3-cyclohexen-1-yl)-"	19515686.3333333	3665366.66666667	320	239
321	"Cyclopentanemethanol, 3-methylene-"	22775074	98708021.6666667	321	239
322	"2-Propanamine, 2-methyl-N2-[1-tetrahydro-1H-1-pyrrolylmethylidene]"	492212.666666667	647490.666666667	322	239
323	"3-p-Menthen-7-al"	26369467	437258705.666667	323	239
324	"4-((5-Ethenyl-1-azabicyclo(2,2,2)octan-2-yl)oxymethyl)-6-methoxy-quinoline"	1943322.66666667	171154	324	239
325	"Acetic acid, trifluoro-, cyclohexyl ester"	239001	33384165.6666667	325	239
326	"2,2,5,5-Tetramethyltetrahydro-3-ketofuran"	941055.666666667	1002071.66666667	326	239
327	"Peak@12.654"	489058.666666667	665466	327	239
328	"2-Heptanone, 6-(2-furanyl)-6-methyl-"	718006.333333333	1302075.66666667	328	239
329	"2-[N-(4-Methoxyphenyl)-N-(4-methoxyphenylaminocarbonyl)-amino]-4H-3,1-benzoxazine-4-(p-tolyl)imine"	858287	408078.333333333	329	239
330	"Acetamide, 2-chloro-N-(2-cyanoethyl)-"	1644620.66666667	14235229.6666667	330	239
331	"1-Pentanone, 1-(2-furanyl)-"	796478.333333333	9079076.33333333	331	239
332	"Peak@12.710"	344140.333333333	4253700.33333333	332	239
333	"Peak@12.712"	5190691	28643652.3333333	333	239
334	"1-Heptene, 3-methoxy-"	788765	6503951	334	239
335	"{3,3-Dimethylbicyclo[2.2.1]heptan-2-yl}methanol, Ac derivative (isomer 2)"	78928372.6666667	739312298.333333	335	239
336	"8-Azabicyclo[3.2.1]oct-2-ene, 8-methyl-"	3801256.33333333	29715707.3333333	336	239
337	"5-Octyn-4-one, 2,7-dimethyl-"	5190691	28643652.3333333	337	239
338	"6,7-Dihydro-5H-benzo[1,2,5]oxadiazol-4-one o-(4-fluoro-benzyl)-oxime"	1518383.66666667	8629203	338	239
339	"endo-Borneol"	1073564467.66667	9852542346.66667	339	239
340	"3,3-Diethyl-1,2,3,4-tetrahydro-1,7-dimethyl-6H-[1,2,4]triazino[4,3-b][1,2,4,5]tetrazin-6-one"	1737152.66666667	15146384.3333333	340	239
341	"2,2'-((2,6-Dihydroxybenzyl)azanediyl)diacetic acid, 4 TMS derivative"	120970198.666667	74834009.3333333	341	239
342	"Tris(tert-butyldimethylsilyloxy)arsane"	859030.666666667	228565.666666667	342	239
343	"Isobutyric acid 3,5-dichloro-2,6-dimethyl-4-pyridyl ester"	4474043	2220542.33333333	343	239
344	"Tris(tert-butyldimethylsilyloxy)arsane"	7137459.66666667	4591654	344	239
345	"Peak@12.742"	1360695.66666667	335561.666666667	345	239
346	"Peak@12.742"	2875530	1339132	346	239
347	"Peak@12.744"	1364644.33333333	416427.333333333	347	239
348	"Peak@12.744"	1562996.33333333	501527	348	239
349	"Peak@12.746"	681400.333333333	327267.333333333	349	239
350	"p-Toluic acid, 5-fluoro-2-nitrophenyl ester"	NA	138920	350	239
351	"Peak@12.750"	1342297	459637.666666667	351	239
352	"Terbutaline, N-trifluoroacetyl-O,O,o-tris(trimethylsilyl)deriv."	1202057	1523736.66666667	352	239
353	"2-Isobornyloxy-tetrahydropyran"	765437.666666667	9568884	353	239
354	"trans-1,4-Cyclohexanedimethanol, bis(pentafluoropropionate)"	2095849	840504	354	239
355	"2-Cyclopentene-1-carboxylic acid, 1,2,3-trimethyl-, ethyl ester, (.+-.)-"	1748126.33333333	9198135.66666667	355	239
356	"Benzenemethanol, α,α,4-trimethyl-"	303827645.666667	6032942.33333333	356	239
357	"Tetracosyl benzoate"	3352245	5921660	357	239
358	"4-Hexen-1-ol, 2-methylpropionate"	1674863.66666667	6534064.66666667	358	239
359	"Peak@12.820"	NA	953681.333333333	359	239
360	"2-[3-Hydroxy-4-methoxyphenyl]-semicarbazide"	62824.6666666667	953681.333333333	360	239
361	"p-Cymen-9-ol, acetate"	89307.6666666667	451221.333333333	361	239
362	"2-Propanone, 1,1,3,3-tetrapropoxy-"	346821.333333333	1704689.33333333	362	239
363	"Peak@12.881"	2592457.33333333	3942064	363	239
364	"Butanoic acid, 5-hexenyl ester"	NA	4468203.33333333	364	239
365	"Peak@12.885"	867467.333333333	2008875	365	239
366	"5-Isopropyl-2-methylbicyclo[3.1.0]hexan-2-ol  #"	873934814	1498336545.66667	366	239
367	"Peak@12.887"	2022879	3990422.33333333	367	239
368	"Peak@12.887"	1522937.33333333	2787776.33333333	368	239
369	"Carbonic acid, phenyl tridecyl ester"	3653813	6149290.33333333	369	239
370	"Peak@12.901"	4548404.33333333	13651270.6666667	370	239
371	"l-Histidine, ethyl ester"	3920046.33333333	7038100.33333333	371	239
372	"3-Hydroxy-2-(pyrrolidinomethyl)pyridine"	656691.666666667	1507576.66666667	372	239
373	"4a,8a-(Methaniminomethano)naphthalene-9,11-dione, 10-phenyl-"	90989.3333333333	422086.666666667	373	239
374	"Aspirin methyl ester"	214871474.333333	42742663.6666667	374	239
375	"Peak@12.982"	167055.666666667	24754.3333333333	375	239
376	"Peak@12.984"	814544.666666667	585853.666666667	376	239
377	"(R)-3-Methyl-5-propylcyclohex-2-enone"	1338359.66666667	2395282.33333333	377	239
378	"1-(4-Methoxyphenyl)propane-1,2-diol"	11662339.3333333	25980128	378	239
379	"5-Methoxyindane"	2137576.66666667	41678671.3333333	379	239
380	"Cyclohexene, 1-methyl-3-(formylmethyl)-"	3007167.33333333	27561380	380	239
381	"2-Cyclopentene-1-acetaldehyde, 2-formyl-α,3-dimethyl-"	26466216.6666667	147786668.666667	381	239
382	"Terpinyl formate"	188850869.333333	426736101.666667	382	239
383	"1-(2-Hydroxyethyl)-3-phenylurea"	226030.333333333	394630.333333333	383	239
384	"Peak@13.071"	539109.666666667	789007.666666667	384	239
385	"trans-Ocimenol"	171013058.666667	356599701.666667	385	239
386	"cis-Dihydrocarvone"	86258006.3333333	21373481.3333333	386	239
387	"2-Cyclohexen-1-one, 5-methyl-2-(1-methylethyl)-"	4225707.66666667	7691364.66666667	387	239
388	"2-Heptanone, 6-(2-furanyl)-6-methyl-"	3313289.33333333	6881395	388	239
389	"Hexanoic acid, 2-chloro-, methyl ester"	1410560	2395282.33333333	389	239
390	"Cyclopentanone, 3,4-bis(methylene)-"	20003.3333333333	175698.666666667	390	239
391	"3-(Benzyloxy)-N-[(3-ethylisoxazol-5-yl)methyl]-4-methoxybenzamide"	NA	767508.666666667	391	239
392	"Bis[bicyclo[3.2.0]hept-2-en-4-yl]ether"	1853466	2718977	392	239
393	"Piperitol,cis-"	NA	18324291.6666667	393	239
394	"Fumaric acid, decyl 2-methylcyclohex-1-enylmethyl ester"	295361.666666667	218392.333333333	394	239
395	"4-n-Propyl-trans-3-oxabicyclo[4.4.0]decane"	16176314	35865610	395	239
396	"4-Benzyloxy-3-hydroxy-2-methyl-1-butene"	555874.333333333	724917.333333333	396	239
397	"Ethanone, 1-(1-cyclohexen-1-yl)-"	NA	3233013.66666667	397	239
398	"Cyclopropanecarboxylic acid, undec-2-enyl ester"	444773.333333333	549077	398	239
399	"2-Ethylbutyl (E)-2-methylbut-2-enoate"	3286497	2775707.66666667	399	239
400	"Propanal, 2-(benzoyloxy)-, (R)-"	NA	469690	400	239
401	"Peak@13.213"	616674	485105	401	239
402	"Bicyclo[2.2.1]heptane, 2-(2-propenyl)-"	3667721.66666667	65376538	402	239
403	"4-Methyl-1,5-Heptadiene"	76470.6666666667	2489861.33333333	403	239
404	"Succinimide, N-(E-2-buten-1-one-1-yl)-"	258620	285947.666666667	404	239
405	"2-Amino-N-[1-(5-methylfuran-2-yl)ethyl]benzamide"	NA	11027956.3333333	405	239
406	"2,7-Dioxatricyclo[4.4.0.0(3,8)]dec-4-ene"	399392	467260	406	239
407	"1,2,3,6-Tetrahydrobenzylalcohol, acetate"	369493	423548	407	239
408	"1,4-Cyclohexadiene, 1-methyl-"	342778	202437.333333333	408	239
409	"Piperitol,cis-"	13709962.6666667	27457238.6666667	409	239
410	"Verbanol"	4497834.66666667	5205110.33333333	410	239
411	"Butane, 1-cyclopropylidene-5-(tetrahydro-2H-pyran-2-yloxy)-"	7116152	8604125.66666667	411	239
412	"1-Hexene, 2-(O-anisyl)-4-methyl-"	39032867	3992582	412	239
413	"3,5-Dimethyldihydropyran-2,6-dione"	267459.333333333	313347.666666667	413	239
414	"(2R,4R)-4-Methyl-2-(2-methylprop-1-en-1-yl)tetrahydro-2H-pyran"	6816043.33333333	24450527	414	239
415	"α-D-Mannopyranoside, methyl, cyclic 2,3:4,6-bis(ethyl boronate)"	1788804	2398153.66666667	415	239
416	"Glutaric acid, 2-fluorophenyl 4-methoxybenzyl ester"	367386.333333333	576109.666666667	416	239
417	"[4-(2-Pyridylmethyl)piperazino]-(2-thienyl)methanone"	161191	74203	417	239
418	"Peak@13.397"	44328	152205	418	239
419	"Benzofuran, 4,7-dimethyl-"	1986895.66666667	1012440	419	239
420	"6,7-Dihydro-5H-benzo[1,2,5]oxadiazol-4-one o-(2-fluoro-benzyl)-oxime"	NA	4162627	420	239
421	"2-Heptanone, 6-(2-furanyl)-6-methyl-"	350733	1564797	421	239
422	"Bi-2-cyclohexen-1-yl"	10026.6666666667	65364.3333333333	422	239
423	"1-(4-Methoxyphenyl)-1,4-butanediol"	NA	5640622.66666667	423	239
424	"Pentane, 2,3,3-trimethyl-"	1269468.33333333	1346555	424	239
425	"Glycine, N-(2-fluorobenzoyl)-, pentyl ester"	1073251.33333333	1821394.66666667	425	239
426	"2-Cyclohexylideneethanol, acetate"	165273.333333333	NA	426	239
427	"1,2,3,6-Tetrahydrobenzylalcohol, acetate"	1766061.33333333	4162627	427	239
428	"2-Hydroxy-2-(4-methoxy-phenyl)-N-methyl-acetamide"	1841212	802640	428	239
429	"(Z)-3,7-Dimethylocta-2,6-dien-1-yl dodecanoate"	4541584.33333333	224453	429	239
430	"Jaboticabin acid, 5TMS"	12181200	391221	430	239
431	"Peak@13.584"	186313	397470.333333333	431	239
432	"1-Pentanol, 5-[(4-pyridinylmethyl)amino]-"	12793312.3333333	1556276	432	239
433	"Peak@13.588"	280340	91465.6666666667	433	239
434	"Tris(tert-butyldimethylsilyloxy)arsane"	5753462	5070330	434	239
435	"Sulfurous acid, hexyl 2-pentyl ester"	1649753.66666667	2413504.66666667	435	239
436	"2-(1-Methylcyclohexyloxy)-tetrahydropyran"	399799.666666667	779236	436	239
437	"Pentanoic acid, 1,1-dimethylpropyl ester"	1649753.66666667	2413504.66666667	437	239
438	"Thiolane-3,4-dicarbonitrile, 2,5-di-tert-butyl-3,4-bis(trifluoromethyl)-"	54153	253545.666666667	438	239
439	"Peak@13.597"	587321.333333333	1899963.33333333	439	239
440	"Pentane, 2,2,4-trimethyl-"	28522.6666666667	168688.666666667	440	239
441	"Cyclopentene, 3-methyl-"	1723018.33333333	2737234.66666667	441	239
442	"Peak@13.617"	12793312.3333333	1556276	442	239
443	"Phthalic acid, 2-(2-nitrophenyl)ethyl propyl ester"	53884559	45690.6666666667	443	239
444	"Benzaldehyde, 2,4,5-trimethyl-"	20010778	311701	444	239
445	"2,5-Pyridinedicarboxylic acid, 2-methyl ester"	12596512.6666667	10782329	445	239
446	"Benzene, 2-methoxy-4-methyl-1-(1-methylethyl)-"	12106954856.3333	13729253	446	239
447	"Jaboticabin acid, 5TMS"	3728856	2362874.33333333	447	239
448	"Pentanoic acid, 4-hexen-1-yl ester"	3418769.33333333	6057934.66666667	448	239
449	"Phenanthrene, 3,6-dimethoxy-9,10-dimethyl-"	155197.333333333	600349.666666667	449	239
450	"VII tropolone"	709928	147112.666666667	450	239
451	"Peak@13.678"	1024475.66666667	518299.333333333	451	239
452	"Benzaldehyde, 4-(1-methylethyl)-"	NA	861855526.666667	452	239
453	"N-(2-(Ethyl(m-tolyl)amino)ethyl)methanesulfonamide, N-acetyl-"	640441	76804872	453	239
454	"Phenol, 4-methoxy-2,3,6-trimethyl-"	14757307.3333333	67292192.6666667	454	239
455	"2-Benzoyloxysuccinic acid, dimethyl ester"	350470.666666667	433863	455	239
456	"Peak@13.727"	NA	302519.333333333	456	239
457	"l-Alanine, N-(2-fluorobenzoyl)-, hexyl ester"	134827191.666667	20678683	457	239
458	"Ascaridole"	9966980.66666667	289424674.333333	458	239
459	"Peak@13.732"	3475967.66666667	12862033	459	239
460	"Peak@13.734"	76398308.6666667	22653197.6666667	460	239
461	"2(1H)-Pyridinone, 5-methyl-"	809088.333333333	22903627.3333333	461	239
462	"tert-Butyl-p-benzoquinone"	363294725	4183361930.66667	462	239
463	"2-(4-Methylphenoxy)propanoic acid hydrazide"	173913046	154558765	463	239
464	"Peak@13.754"	386663.666666667	8001084.33333333	464	239
465	"Peak@13.754"	405555.333333333	293387.666666667	465	239
466	"4,5,6,7-Tetrahydro-2H-pyrazolo[4,3-c]pyridine, N,N'-bis-methyl"	613750.666666667	11755601.3333333	466	239
467	"Inosine, 1-methyl-"	695083.666666667	475181.666666667	467	239
468	"Peak@13.761"	541996.666666667	11871543.3333333	468	239
469	"3,6,6-TRIMETHYL-CYCLOHEX-2-ENONE"	1550616.33333333	51985986.6666667	469	239
470	"Cyclopropanecarboxylic acid,undec-10-enyl ester"	381108.666666667	8833557.66666667	470	239
471	"Benzenesulfonamide, N-(adamantan-1-yl)methyl-2,5-dichloro-"	756838.666666667	16714642	471	239
472	"5-Methoxy-2-allylphenol"	2507124.66666667	27912017.6666667	472	239
473	"Propanedioic acid, (1,2-dimethylpropylidene)-, dimethyl ester"	402282406.666667	3403878.33333333	473	239
474	"Peak@13.792"	41832933.6666667	139154291.666667	474	239
475	"3-Hydroxy-7-methoxy-3-phenyl-4-chromanone"	34596081.3333333	1516334.33333333	475	239
476	"Terpinyl formate"	32278609.3333333	39303586	476	239
477	"Phosphorothioic acid, S-2,3-diaminopropyl ester"	95043301.3333333	3877370.66666667	477	239
478	"O-Nitroacetophenone oxime"	76398308.6666667	2775924.33333333	478	239
479	"2-Methyl-N-(2-pyridinylmethyl)-1-propanamine"	25578121.3333333	53432372.3333333	479	239
480	"8a-Methyl-5-methylene-3-([(pyridin-2-ylmethyl)-amino]-methyl)-decahydro-naphtho[2,3-b]furan-2-one"	254795267	154558765	480	239
481	"Benzoic acid, 2-(methylamino)-"	53363620.6666667	2284550	481	239
482	"Benzene, 1-methoxy-4-methyl-2-(1-methylethyl)-"	46586182881.6667	1655335533.66667	482	239
483	"N-[4-Aminobenzyl]-4-acetamidobenzenesulfonamide"	50861485.3333333	1812069.33333333	483	239
484	"Carbonic acid, 4-isopropylphenyl propyl ester"	363293762.666667	2364780.66666667	484	239
485	"Cyclohexanone, 2-methylene-5-(1-methylethyl)-"	214237	3023219.66666667	485	239
486	"2-Buten-1-one, 1-(6,7,7-trimethyl-2,3-dioxabicyclo[2.2.2]oct-5-en-1-yl)-, [1R-[1α(E),4β]]-"	277114.333333333	1626418.66666667	486	239
487	"Acetic acid, 4-t-butyl-4-hydroxy-1,5-dimethyl-hex-2-enyl ester"	1076068.33333333	3220378.66666667	487	239
488	"Peak@13.921"	93712.3333333333	110347.666666667	488	239
489	"(Cyclopropyl)trivinylsilane"	3375	130052.333333333	489	239
490	"Bicyclo[3.1.1]heptan-2-ol, 2,6,6-trimethyl-"	467940.333333333	4409912.66666667	490	239
491	"2,6-Octadien-1-ol, 3,7-dimethyl-"	580974.666666667	2425480.33333333	491	239
492	"1,5-Hexadien-3-ol, acetate"	961604	3220378.66666667	492	239
493	"Cyclopropanecarboxylic acid, but-3-yn-2-yl ester"	170929.333333333	333502.666666667	493	239
494	"4-[(5-Hexyl-1H-1,2,4-triazol-3-yl)amino]-4-oxo-2-butenoic acid"	2549905	1323313.66666667	494	239
495	"3-Chloro-5-(trifluoromethyl)-2-pyridinyl 4-piperidinyl ether, N acetyl"	580974.666666667	2425480.33333333	495	239
496	"Peak@13.974"	316385.666666667	326712.333333333	496	239
497	"Undecane, 4,7-dimethyl-"	8505223	9559638	497	239
498	"2-Furancarboxylic acid, cyclobutyl ester"	270076	1091283.33333333	498	239
499	"2-Cyclohexen-1-one, 6-(1-hydroxy-1-methylethyl)-3-methyl-"	2085850	4053925	499	239
500	"2-Butyl-1H-imidazole-5-carboxaldehyde"	1219533.66666667	6512023.66666667	500	239
501	"Peak@14.001"	175102.666666667	668334.333333333	501	239
502	"Peak@14.001"	1530776.33333333	1190551	502	239
503	"Linalyl acetate"	5238368	16893607.6666667	503	239
504	"Peak@14.010"	375899	485039.333333333	504	239
505	"2-Methylbenzoic acid (5-methyl-2-phenyl-4-tosyl-pyrazol-3-yl) ester"	312708	1812817	505	239
506	"Peak@14.015"	76558.3333333333	780181	506	239
507	"Octanoic acid, 2-[(trifluoroacetyl)amino]-, butyl ester"	686748	393806	507	239
508	"7-Oxabicyclo[4.1.0]heptan-2-one, 3-methyl-6-(1-methylethyl)-"	11703415.3333333	4536390.33333333	508	239
509	"2-Furaldehyde diethyl acetal"	NA	5712757.33333333	509	239
510	"Ethanone, 1-(1-methylcyclohexyl)-"	341485.666666667	3831822	510	239
511	"1,3-Cyclopentanedione, 2-ethyl-4-propyl-"	857037	558410.666666667	511	239
512	"Sulfamic acid, N,N-dimethyl-, 4-nitrophenyl ester"	11590.3333333333	192489.666666667	512	239
513	"Peak@14.044"	86753	100101.666666667	513	239
514	"Peak@14.046"	203341	361279.333333333	514	239
515	"5,7-Octadien-4-one, 2,6-dimethyl-, (E)-"	3535131	272747210.666667	515	239
516	"1-[3-Hydroxy-4-(3,4,5-trihydroxy-6-hydroxymethyltetrahydropyran-2-yloxy)phenyl]ethanone"	546640.666666667	1253084	516	239
517	"Pyrazolo[3,4-d]pyrimidine-3,4(2H,5H)-dione"	49324.3333333333	318995.666666667	517	239
518	"Peak@14.082"	25770.6666666667	87066.6666666667	518	239
519	"5-Hydroxy-3-methyl-1-indanone"	3691.33333333333	1277172.66666667	519	239
520	"N-(Azetidin-3-yl)acetamide"	215233	273356.333333333	520	239
521	"Hexane, 3,3-dimethyl-"	9363911.66666667	11470510.6666667	521	239
522	"Malonic acid, 3-methylbutyl pentadecyl ester"	9363911.66666667	11470510.6666667	522	239
523	"Benzene, 1,3-bis(1,1-dimethylethyl)-"	1346922916	1650136451.66667	523	239
524	"2-Methyl-3,5-dinitrophenyl β-phenylpropionate"	3817987	4655426	524	239
525	"Peak@14.118"	654304.666666667	1652432.33333333	525	239
526	"Peak@14.124"	3627854	4418289	526	239
527	"Peak@14.127"	1357116.33333333	1606189	527	239
528	"Peak@14.136"	12194796	891180.333333333	528	239
529	"2-(1-Methylcyclopentyloxy)-tetrahydropyran"	22796.3333333333	NA	529	239
530	"Oxalic acid, allyl undecyl ester"	1886020	559694.333333333	530	239
531	"Peak@14.149"	6231788	5617093.66666667	531	239
532	"5,7-Octadien-4-one, 2,6-dimethyl-, (E)-"	21447180.3333333	180936.666666667	532	239
533	"Sylvatesmin"	1066121	5434265.33333333	533	239
534	"tert-Butyl 2,7-diazaspiro[4.4]nonane-2-carboxylate"	153367	232883.333333333	534	239
535	"Cyclohexanecarboxylic acid, 4-formylphenyl ester"	1907920	2480285	535	239
536	"Methylamine, N-(1-methylhexylidene)-"	519214.333333333	481427.666666667	536	239
537	"Undecane, 2,7-dimethyl-"	118055.333333333	121865.333333333	537	239
538	"4-Nonene, 3-methyl-, (Z)-"	5536563.33333333	6168748.66666667	538	239
539	"Benzoic acid, 3-methyl-, 3-methylbut-2-yl ester"	613667	202728	539	239
540	"Peak@14.205"	81111.3333333333	354711.666666667	540	239
541	"6,7-Dihydro-5H-benzo[1,2,5]oxadiazol-4-one o-(4-fluoro-benzyl)-oxime"	267429.666666667	447474.666666667	541	239
542	"Propanoic acid, 2,2-dimethyl-, 4-nitrophenyl ester"	132581.333333333	541883	542	239
543	"2,3-Dimethyl-8-oxo-non-2-enal"	7801113.33333333	22184742	543	239
544	"Pentane, 2,3,3-trimethyl-"	10399878.3333333	12619487.6666667	544	239
545	"Cyclopropane, 1-ethyl-2-methyl-, cis-"	990397.666666667	1922897.66666667	545	239
546	"Cyclopropane, 1-ethyl-2-methyl-, cis-"	NA	121113.666666667	546	239
547	"p-Anisic acid, oct-3-en-2-yl ester"	232871	167653	547	239
548	"Methyl N-(2-((benzo[d][1,3]dioxol-5-ylmethyl)amino)-2-(1-butyl-1H-tetrazol-5-yl)propyl)-N-(methylsulfonyl)glycinate"	772262.666666667	635640	548	239
549	"Furan, 2-(1,2-diethoxyethyl)-"	2249602.33333333	1353375	549	239
550	"1,1,2,2-Tetrakis(allyloxy)ethane"	NA	1500315	550	239
551	"2-Isopropyl-4-methylphenol"	666099030	517217571.333333	551	239
552	"Peak@14.309"	4105059.66666667	1456140.66666667	552	239
553	"Peak@14.309"	914314	839683.666666667	553	239
554	"1H-1,2,3-Triazol-1-amine, 4,5-dimethyl-N-(phenylmethylene)-"	931251.333333333	945779	554	239
555	"Peak@14.313"	10358757.3333333	2849460	555	239
556	"Peak@14.322"	2122117	1717286	556	239
557	"Fumaric acid, dicyclobutyl ester"	2082366.66666667	1317133	557	239
558	"1,2-Benzenediol, O,O'-di(4-methoxybenzoyl)-"	1728098	3372638.33333333	558	239
559	"Peak@14.338"	331119.333333333	270158.333333333	559	239
560	"Peak@14.342"	NA	1640356.66666667	560	239
561	"1-Propanone, 1-(1-cyclohexen-1-yl)-"	7303136.66666667	1588860	561	239
562	"2-Cyclopenten-1-one"	110829	198280.666666667	562	239
563	"1H-Imidazole, 1-methyl-"	44258.6666666667	31075.6666666667	563	239
564	"Cyclohexanecarboxylic acid, 4-propyl-, 4-cyanophenyl ester, trans-"	508445.333333333	335950.333333333	564	239
565	"Truxillic acid"	29895710.3333333	489446991.333333	565	239
566	"dl-7-Azatryptophan"	93309304.6666667	31037375.6666667	566	239
567	"6-[4-Methoxybenzyloxy]-8-nitrolepidine"	407668705.333333	72789423.6666667	567	239
568	"7-Oxo-1,3,5-cycloheptatriene-1-carbonitrile"	93309304.6666667	31037375.6666667	568	239
569	"Benzaldehyde, 4-(1-phenyl-2-propenyloxy)-"	402867370.333333	41189667.6666667	569	239
570	"Peak@14.425"	80774176.3333333	14363288.6666667	570	239
571	"2-Isopropyl-4-methylphenol"	1270135640.33333	200274797	571	239
572	"Peak@14.430"	89537310.3333333	15782630.6666667	572	239
573	"Peak@14.433"	67652278.6666667	15910366.3333333	573	239
574	"Peak@14.434"	59494649.3333333	11239353.3333333	574	239
575	"2-Cyclohexene-1,4-dione, 5,6-dichloro-3-isopropyl-6-methyl-, 1-oxime, o-(4-nitrobenzoyl)-"	2323078747	491077278.333333	575	239
576	"4,4'-Dimethylbenzoin"	NA	2784037	576	239
577	"Peak@14.481"	107477794	15812517.3333333	577	239
578	"2-(3-Pyridinylmethoxy)aniline, N-methyl-"	60920933.6666667	882048.333333333	578	239
579	"Octanoic acid, 2-methoxy-2-oxo-1-phenylethyl"	30911017	316559	579	239
580	"3-(4-Hydroxybenzyl)-6-sec-butylpiperazine-2,5-dione, 3Me derivative (isomer 5)"	14130476.3333333	654432.666666667	580	239
581	"Geranyl isobutyrate"	5015298.66666667	265461	581	239
582	"(-)-Myrtenol"	16541681117.3333	119919633.666667	582	239
583	"2-(2-Hydroxy-2-p-methoxyphenylethyl)-5-methyl"	776405299	1922586.66666667	583	239
584	"Jaboticabin acid, 5TMS"	NA	198730	584	239
585	"2-Isopropyl-4-methylphenol"	262796654447	548244176.666667	585	239
586	"2-Aminohexa-2,4-dienedinitrile"	218686130.333333	1482627.66666667	586	239
587	"3-(4-Nitrobenzoyl)-2-thioxo-4-thiazolyl 4-nitrobenzoate"	42275975	695069.666666667	587	239
588	"2-Amino-N-cyclohexylethanesulfonamide, N'-acetyl"	282914887	5790521.66666667	588	239
589	"Cyclopentane, 1,1,3-trimethyl-"	779213	347290.333333333	589	239
590	"Benzenemethanol, α-pentyl-"	NA	NA	590	239
591	"1,9-Nonanediol"	1153185.66666667	300132	591	239
592	"trans-Ascaridol glycol"	561193603.666667	878495095	592	239
593	"4-Octen-3-one, 6-ethyl-7-hydroxy-"	14989439.3333333	1055955	593	239
594	"Furazan-3-carboxylic acid, 4-amino-, [2-(3,4-dimethoxybenzylamino)ethyl]amide"	1052214.66666667	9426.33333333333	594	239
595	"2-Isopropyl-5-methyl-6-oxabicyclo[3.1.0]hexane-1-carboxaldehyde"	20939104.3333333	355639.333333333	595	239
596	"Peak@14.630"	10908145	147860479.666667	596	239
597	"1-Cyclopropyl-2-(3,4-dimethoxyphenyl)ethanol"	59550132.3333333	686434712	597	239
598	"Peak@14.639"	11392983.6666667	154406924.666667	598	239
599	"4-(2-(2-Pyridyl)-1,3-dioxolan-2-yl)-3,4-dihydro-2(1H)-quinolinone"	55066207	843993794.333333	599	239
600	"6-(3,3-Diethoxypropyl)-2(1H)-pyridinone"	4458327	46023474.3333333	600	239
601	"2-Isopropyl-4-methylphenol"	8518601974.33333	174424354171.667	601	239
602	"Sulfurous acid, cyclohexylmethyl isohexyl ester"	637981.333333333	1310663	602	239
603	"Acetoxyacetic acid, 2-adamantyl ester"	4826.66666666667	NA	603	239
604	"2-Amino-4-[3-(4-fluorophenyl)thioureido]-6-propyl-1,3,5-triazine"	1528199	1026712.33333333	604	239
605	"4-t-Butyl-1-(1-methylallyl)cyclohexanol"	325083.666666667	768029.666666667	605	239
606	"Bicyclo[2.2.1]heptan-2-ol, 1,7,7-trimethyl-, acetate, (1S-endo)-"	43301113	107486277	606	239
607	"2,4-Dihydroxyphenylbenzyl ketone"	325083.666666667	768029.666666667	607	239
608	"3-Pentyn-2-one, 5,5-diethoxy-"	637981.333333333	1310663	608	239
609	"3-Decen-5-one"	1704916.33333333	4229741.66666667	609	239
610	"Cyclohexanone, 2-isopropyl-2,5-dimethyl-"	1528199	1026712.33333333	610	239
611	"Busulfan"	2033935.33333333	2524544	611	239
612	"5-Nonanol, trimethylacetate"	2033935.33333333	2524544	612	239
613	"Carbonic acid, octyl phenyl ester"	2856436.66666667	3969279.66666667	613	239
614	"1-Adamantanecarboxylic acid, isopropyl ester"	240331	1152150	614	239
615	"Tetrahydrogeranyl formate"	3537124.33333333	4941436.33333333	615	239
616	"Peak@14.769"	1282733.33333333	1874437.66666667	616	239
617	"Orcinyl di-tiglate"	302119.666666667	164618.333333333	617	239
618	"1,2-Benzenediol, O-(3-methylbut-2-enoyl)-O'-(pivaloyl)-"	302119.666666667	164618.333333333	618	239
619	"2',3-bis(2-methylethyl)-1'-hydroxy-3',6-dimethyl[1,1'-bi(cyclohexane)]-2-one"	1765512.33333333	1539651.33333333	619	239
620	"Hexanoic acid, 3,4-dimethylphenyl ester"	1507866	6470254.33333333	620	239
621	"(2-Hydroxy-3-methoxy-phenyl)-(3,5,5-trimethyl-4,5-dihydro-pyrazol-1-yl)-acetonitrile"	19418287	782809.333333333	621	239
622	"Peak@14.803"	1529821.66666667	814620.666666667	622	239
623	"Phenol, m-tert-butyl-"	85732084.6666667	24465621	623	239
624	"1-(Furan-2-yl)-4-methylpentan-1-one"	78119504.3333333	10947239.6666667	624	239
